"SCP","SCP"
"SCP Config","SCP Konfiguration"
"SCP - Cart","SCP - Warenkorb"
"Show Configurable Product Options In Cart","Zeige konfigurierbare Produkt-Optionen im Warenkorb"
"Show Custom Options In Cart","Zeige individuelle Optionen im Warenkorb"
"Show Configurable Product Name in Cart","Zeige konfigurierbare Produkt-Namen im Warenkorb"
"Show Configurable Product Image in Cart","Zeige konfigurierbares Produkt-Bild im Warenkorb"
"SCP - Product Page","SCP - Produkt Ansicht"
"Dynamically update displayed product description","Dynamisches aktualisieren der Beschreibung"
"Dynamically update displayed product short description","Dynamisches aktualisieren der Kurzbeschreibung"
"Dynamically update displayed product name","Dynamisches aktualisieren des Namen"
"Dynamically update displayed product 'additional information'","Dynamisches aktualisieren der Zusatzinformationen"
"Dynamically update displayed product picture","Dynamisches aktualisieren der Produktbilder"
"Update gallery images as well as main image?","Dynamisches aktualisieren der Produktbilder-Galerie"
"Show price ranges in Configurable Product Option dropdowns","Zeige Differenz Preise im DropDown-Menü"
"Takes affect once all configurable options have been selected","Diese Einstellung beeinflusst alle konfiguerierbaren Produkte"
"Uses ajax to pull in the correct related product images too","Benutzt AJAX um die richtigen Produktbilder zu laden"
"Only applies to SCP configurable products","Funktioniert nur bei Konfigurierbaren Produkten"
"No = Show simple product name in cart","Nein = Zeigt den Produkt-Namen des Simplen Produktes im Warenkorb"
"No = Show simple product image in cart","Nein = Zeigt das Produkt-Bild des Simplen Produktes im Warenkorb"
