"SCP","SCP"
"SCP Config","SCP Config"
"SCP - Cart","SCP - Cart"
"Show Configurable Product Options In Cart","Show Configurable Product Options In Cart"
"Show Custom Options In Cart","Show Custom Options In Cart"
"Show Configurable Product Name in Cart","Show Configurable Product Name in Cart"
"Show Configurable Product Image in Cart","Show Configurable Product Image in Cart"
"SCP - Product Page","SCP - Product Page"
"Dynamically update displayed product description","Dynamically update displayed product description"
"Dynamically update displayed product short description","Dynamically update displayed product short description"
"Dynamically update displayed product name","Dynamically update displayed product name"
"Dynamically update displayed product 'additional information'","Dynamically update displayed product 'additional information'"
"Dynamically update displayed product picture","Dynamically update displayed product picture"
"Update gallery images as well as main image?","Update gallery images as well as main image?"
"Show price ranges in Configurable Product Option dropdowns","Show price ranges in Configurable Product Option dropdowns"
"Takes affect once all configurable options have been selected","Takes affect once all configurable options have been selected"
"Uses ajax to pull in the correct related product images too","Uses ajax to pull in the correct related product images too"
"Only applies to SCP configurable products","Only applies to SCP configurable products"
"No = Show simple product name in cart","No = Show simple product name in cart"
"No = Show simple product image in cart","No = Show simple product image in cart"
